0         ,1        ,2             ,3
longitude ,latitude ,baro_altitude ,velocity
-76.0319  ,-12.712  ,9685.02       ,197.86
-78.1235  ,-7.1491  ,9921.24       ,228.11
-76.2891  ,-8.7002  ,10965.18      ,239.94
-97.8133  ,36.8326  ,2910.84       ,99.99
          ,         ,              ,154.07
-88.9388  ,41.959   ,2049.78       ,89.09
-97.9487  ,36.9789  ,2766.06       ,158.17
16.5535   ,48.1165  ,              ,18.01
-75.248   ,-12.8581 ,11277.6       ,218.24
-114.2657 ,36.1931  ,7002.78       ,236.51
-77.6979  ,38.5209  ,1165.86       ,62.03
-76.8693  ,39.5642  ,9753.6        ,196.55
-58.9433  ,-33.9702 ,5913.12       ,202.48
-97.7755  ,30.508   ,998.22        ,81.61
-84.0401  ,35.4254  ,11590.02      ,169.23
-89.3696  ,39.8126  ,10683.24      ,243.91
172.6605  ,-40.8093 ,10965.18      ,236.42
-118.0665 ,34.1236  ,975.36        ,61.24
-48.1052  ,-21.4131 ,9502.14       ,208.67
-76.9127  ,36.6276  ,10972.8       ,212.15
-85.1522  ,37.6196  ,10668         ,282.43
-97.1325  ,32.6245  ,990.6         ,85.93
-112.225  ,29.5403  ,10972.8       ,215.18
-81.3226  ,30.6772  ,7970.52       ,265.99
-110.6344 ,35.7419  ,8534.4        ,210.42
-85.1306  ,39.4079  ,6675.12       ,184.7
-97.4239  ,43.457   ,11277.6       ,235.32
-84.1179  ,34.0576  ,1295.4        ,49.72
-77.2781  ,42.4046  ,3185.16       ,148.78
-66.7298  ,19.5464  ,5859.78       ,222.47
-98.3912  ,29.8519  ,548.64        ,67.38
-97.0599  ,31.972   ,3962.4        ,79.76
-101.9906 ,38.0659  ,11285.22      ,246.27
-98.1945  ,30.0718  ,10363.2       ,204.42
19.9895   ,47.5051  ,9745.98       ,206.8
17.7272   ,52.38    ,11894.82      ,245.65
          ,         ,              ,169.03
-93.218   ,44.8828  ,              ,6.43
-83.845   ,42.5648  ,4343.4        ,154.14
-95.6585  ,31.354   ,11833.86      ,218.54
-61.6035  ,50.6571  ,10363.2       ,226.01
-76.5809  ,40.3009  ,891.54        ,55.75
10.6272   ,42.8151  ,11894.82      ,209.26
-87.047   ,36.0764  ,2743.2        ,103.6
-103.5325 ,31.1282  ,11292.84      ,274.39
-103.3606 ,31.291   ,10363.2       ,200.76
-96.7403  ,31.4543  ,5791.2        ,197.12
-73.0573  ,40.7192  ,2552.7        ,134.08
-79.6691  ,38.1526  ,11673.84      ,192.6
5.6542    ,45.5847  ,10965.18      ,224.44
8.2557    ,51.3429  ,5288.28       ,165.66
-74.881   ,4.4754   ,11574.78      ,236.12
-0.0858   ,51.5851  ,2232.66       ,134.14
-80.216   ,27.1758  ,-91.44        ,4.43
-95.9498  ,33.2688  ,495.3         ,83.37
-80.844   ,28.1008  ,10622.28      ,216.73
-84.1126  ,31.9729  ,5791.2        ,182.44
11.2446   ,50.5975  ,11887.2       ,207.51
11.3773   ,47.0796  ,10668         ,212.44
-84.6669  ,45.2636  ,12192         ,201.19
-112.8243 ,35.3984  ,7795.26       ,221.23
-117.2166 ,47.7476  ,3040.38       ,133.49
-93.4592  ,29.3176  ,11887.2       ,267.07
10.0029   ,53.6278  ,              ,0.64
-47.3149  ,-23.2696 ,6362.7        ,164.58
11.9324   ,48.3754  ,830.58        ,78.17
-116.8005 ,47.7883  ,723.9         ,39.1
-60.8023  ,13.7951  ,2179.32       ,146.64
9.178     ,50.4678  ,12192         ,197.13
-81.4234  ,29.8438  ,2964.18       ,94.58
22.6824   ,40.5896  ,906.78        ,122.65
8.5707    ,50.0485  ,              ,1.8
-76.3226  ,-6.3425  ,12192         ,233.44
-70.9494  ,42.6342  ,3528.06       ,169.49
-113.9931 ,51.127   ,              ,5.14
2.7797    ,44.9038  ,11887.2       ,200.68
136.8314  ,32.7027  ,10066.02      ,311.06
9.9782    ,53.6254  ,              ,9.77
15.3532   ,45.3953  ,11887.2       ,244.37
8.5666    ,50.0477  ,              ,1.03
1.967     ,52.324   ,8709.66       ,249.14
-78.6663  ,38.663   ,4015.74       ,183.11
-91.768   ,38.1464  ,10203.18      ,147.52
-115.1348 ,36.0829  ,              ,0
-111.1255 ,31.8997  ,10058.4       ,177.78
-123.1099 ,45.2787  ,670.56        ,33.44
171.2783  ,-42.8825 ,3931.92       ,110.87
151.2393  ,-30.2893 ,10972.8       ,211.2
-70.6738  ,18.4112  ,6736.08       ,197.39
-75.8483  ,40.0763  ,10972.8       ,155.57
-69.6555  ,17.9438  ,3924.3        ,171.32
9.8029    ,45.1056  ,11582.4       ,235.03
-77.1395  ,38.2478  ,914.4         ,35.62
-99.6557  ,47.3869  ,7307.58       ,140.74
-118.3294 ,33.7955  ,53.34         ,27.57
-86.4     ,42.8673  ,8519.16       ,223.84
-81.4638  ,28.4304  ,213.36        ,51.08
2.7341    ,47.6425  ,10873.74      ,218.24
-95.6586  ,40.7998  ,7315.2        ,207.81
-86.9457  ,21.1996  ,1150.62       ,114
-90.3421  ,33.5571  ,11582.4       ,193.16
-96.8102  ,33.3224  ,1196.34       ,79.83
-96.5018  ,33.4618  ,1767.84       ,87.55
-86.9186  ,36.1376  ,1524          ,125.22
20.6906   ,42.2294  ,10660.38      ,250.91
175.6913  ,-40.2812 ,472.44        ,59.7
-80.3613  ,25.8003  ,266.7         ,77.72
-77.4561  ,38.944   ,              ,7.2
4.5763    ,43.549   ,9334.5        ,238.79
-75.2475  ,39.185   ,8305.8        ,208.14
-100.3547 ,27.4473  ,9014.46       ,239.43
-81.1846  ,30.4261  ,9144          ,231.63
-88.2279  ,35.8728  ,10668         ,267.34
6.6325    ,58.4116  ,11582.4       ,199.99
-88.9467  ,39.1527  ,7665.72       ,169.36
12.2603   ,57.6414  ,259.08        ,69.02
-72.2349  ,42.6364  ,6804.66       ,206.2
-79.6342  ,43.6934  ,144.78        ,0
-98.0512  ,29.7     ,457.2         ,57.49
-74.2136  ,41.633   ,8839.2        ,222.17
-81.3496  ,28.5389  ,15.24         ,73.29
-111.4514 ,45.7706  ,12496.8       ,236.67
11.1129   ,53.226   ,4069.08       ,175.29
